year,head_to_head,result,fifa_rank_diff,home_form_total,away_form_total,stage_encoded,home_team_encoded,away_team_encoded
1930,0,home team win,-145.33517475406393,0.39999999999999997,0.7000000000000001,0,27,45
1930,0,home team win,54.52527659508246,1.5,0.6,0,78,5
1930,0,home team win,-40.889329369596,1.0,0.7000000000000001,0,82,8
1930,0,home team win,18.605136059711867,0.6,0.0,0,56,55
1930,0,home team win,265.02833160152454,0.3,0.39999999999999997,0,2,29
1930,0,home team win,-119.74663191570312,0.3,1.4,0,12,45
1930,0,home team win,49.59889316381782,2.4,0.0,0,82,6
1930,0,home team win,25.42324586186237,3.5999999999999996,0.39999999999999997,0,78,54
1930,0,home team win,175.2050976177145,0.19999999999999998,0.7,0,79,55
1930,0,home team win,155.03535582987456,1.0,1.05,0,2,45
1930,0,home team win,15.74075907841484,2.3999999999999995,0.39999999999999997,0,12,29
1930,0,home team win,74.23568369363466,0.7000000000000001,0.0,0,8,6
1930,0,home team win,39.59079756383244,0.39999999999999997,0.6,0,50,5
1930,0,home team win,135.40238191208255,0.8999999999999999,0.6,0,79,60
1930,0,home team win,250.6044218108202,2.7499999999999996,0.3,0,2,12
1930,0,home team win,107.17798826101534,2.6333333333333333,1.5,1,2,82
1930,0,home team win,133.1345704095454,1.95,1.0,1,79,86
1930,0,home team win,-8.923227914683366,2.7666666666666666,0.3,2,79,2
1934,0,home team win,92.6590902041064,1.5999999999999999,1.0999999999999999,3,68,8
1934,0,home team win,-57.03103699264807,0.09999999999999999,1.2999999999999998,3,70,47
1934,0,home team win,-99.63770625827624,1.0,0.6,3,69,2
1934,0,home team win,111.68003120680578,0.7000000000000001,1.2,3,37,82
1934,0,home team win,88.99533515007397,0.7000000000000001,1.0,3,20,60
1934,0,home team win,150.9570728388287,0.6,0.7000000000000001,3,28,5
1934,0,home team win,305.2315354738762,0.7999999999999999,0.6,3,4,29
1934,0,home team win,63.42981596866457,0.5,0.3,3,33,25
1934,0,home team win,106.67855007920366,2.8999999999999995,0.5,4,4,35
1934,0,home team win,215.6442458701772,2.1,0.09999999999999999,4,20,74
1934,0,home team win,-17.741448264956944,4.1,1.0,4,28,73
1934,0,draw,-7.73698424107306,5.6,1.5999999999999999,4,37,72
1934,0,home team win,-12.926649878368607,3.5,2.3,4,37,72
1934,0,home team win,65.08916944566704,2.45,0.6,1,20,30
1934,0,home team win,-56.26349302166818,2.8,0.7999999999999999,1,37,4
1934,0,home team win,-146.14177877280713,3.05,0.7999999999999999,5,28,4
1934,0,home team win,31.131914544166193,1.4,0.7000000000000001,2,37,20
1938,0,draw,-227.2519762586944,0.5,0.5,3,70,30
1938,0,home team win,39.597429083014504,0.7000000000000001,1.0999999999999999,3,8,56
1938,0,home team win,127.27517405878348,0.6,1.0,3,20,47
1938,0,home team win,236.64787901336513,1.0,0.19999999999999998,3,37,52
1938,0,home team win,149.31061786273995,0.7000000000000001,0.0,3,33,22
1938,0,home team win,33.91450148190597,1.2999999999999998,0.6,3,27,5
1938,0,draw,7.458507439800087,0.0,0.5,3,18,60
1938,0,home team win,1.4626783933376828,2.0999999999999996,2.5999999999999996,3,18,60
1938,0,home team win,-212.53003329156536,1.2,1.2,3,70,30
1938,0,draw,-60.457862767882716,4.8999999999999995,0.6,4,8,20
1938,0,home team win,207.34336723119986,4.8999999999999995,0.5,4,33,74
1938,0,home team win,282.7350273530142,2.4,1.2999999999999998,4,37,29
1938,0,home team win,15.413591195619347,0.6,0.0,4,69,18
1938,0,home team win,-62.72431379157774,3.15,1.2999999999999998,4,8,20
1938,0,home team win,163.27143872647775,2.75,0.7000000000000001,1,37,8
1938,0,home team win,112.64781151509487,3.5,0.7000000000000001,1,33,73
1938,0,home team win,12.601510078997308,2.8,1.4,5,8,73
1938,0,home team win,70.53404185111458,2.6333333333333333,0.7000000000000001,2,37,35
1950,0,home team win,51.322258540939856,1.2,1.0999999999999999,0,8,45
1950,0,home team win,91.22182737619505,1.0999999999999999,0.09999999999999999,0,82,74
1950,0,home team win,284.34769132939255,1.0999999999999999,0.7999999999999999,0,25,12
1950,0,home team win,132.06605636025938,1.0,0.3,0,68,82
1950,0,home team win,-106.44819067543949,0.6,0.6,0,69,40
1950,0,home team win,35.50674712306886,3.1999999999999993,1.0999999999999999,0,82,45
1950,0,draw,139.34372074578118,4.0,0.09999999999999999,0,8,74
1950,0,home team win,178.5180938725125,3.0999999999999996,0.7999999999999999,0,68,12
1950,0,home team win,-256.5064724193819,0.3,1.0999999999999999,0,78,27
1950,0,draw,46.24024590544627,2.6999999999999997,0.5,0,69,54
1950,0,home team win,9.80879174897882,3.3,1.0999999999999999,0,8,86
1950,0,home team win,224.78186614027413,0.7999999999999999,0.3,0,79,6
1950,0,home team win,123.56526257492624,0.6,1.9,0,37,54
1950,0,home team win,-58.412388114352325,0.09999999999999999,1.4499999999999997,0,70,45
1950,0,home team win,-63.62569721479531,0.7999999999999999,1.0,0,12,82
1950,0,home team win,-90.61167854284963,2.75,1.0999999999999999,0,68,27
1950,1,home team win,-11.37140565116988,3.0666666666666664,0.6,6,8,73
1950,0,draw,-29.557893218435083,6.3999999999999995,1.0,6,79,72
1950,0,home team win,16.111547611675178,3.7666666666666666,2.4,6,8,72
1950,0,home team win,-34.9043887299847,4.3,1.2999999999999998,6,79,73
1950,0,home team win,5.555291320318929,2.35,2.05,6,69,72
1950,0,home team win,-31.617292529316728,3.8333333333333326,1.2,6,79,8
1954,0,home team win,89.2895956687696,1.0999999999999999,0.39999999999999997,0,79,20
1954,0,home team win,-16.777336126773434,0.7000000000000001,0.39999999999999997,0,4,63
